date,avg_execution_price,total_volume_usd,avg_volume_usd,total_pnl,avg_pnl,avg_position,avg_fee,unique_traders,classification,value
2023-05-01,1898.1333333333332,477.0,159.0,0.0,0.0,0.09193333333333333,0.0,1,Greed,63.0
2023-12-05,11038.3,50005.83,5556.203333333334,0.0,0.0,2.513866666666667,1.3890505555555555,1,Extreme Greed,75.0
2023-12-14,8031.868818181818,113203.35,10291.213636363636,-205.43473700000007,-18.675885181818188,-132.57430181818182,2.5728028181818186,1,Greed,72.0
2023-12-15,2.982,10609.95,5304.975,-24.632033999999997,-12.316016999999999,-2440.0,1.3262445,1,Greed,70.0
2023-12-16,0.3847066666666667,15348.77,5116.256666666667,0.0,0.0,12124.666666666666,1.279063,1,Greed,67.0
2023-12-17,802.5418592857143,116278.02,8305.572857142857,304.982785,21.78448464285714,10738.717442857143,2.076392785714286,1,Greed,73.0
2023-12-18,2178.1000000000004,31164.179999999997,15582.089999999998,0.0,0.0,0.004,3.8955225,1,Greed,65.0
2023-12-19,447.8019113333333,91602.41,6106.827333333334,1000.5386120000001,66.70257413333334,27078.30564,1.5267064,1,Greed,73.0
2023-12-20,6.722871666666666,141636.79,7868.710555555556,162.732282,9.040682333333333,20047.266666666666,1.9671770555555557,1,Greed,74.0
2023-12-21,91.84020408163265,125233.97,2555.795306122449,537.211402,10.963498000000001,121.77714285714285,0.6389483469387754,1,Greed,70.0
2023-12-22,30692.8325,88874.28,8887.428,141.832675,14.1832675,251.338681,2.2218566,1,Greed,74.0
2023-12-23,3.0702846153846153,78438.25,6033.711538461538,146.936704,11.302823384615383,30063.046153846153,1.5084273076923078,1,Greed,70.0
2023-12-24,13680.54118025641,402954.94,10332.177948717948,1008.619956,25.862050153846155,22665.121184871794,2.5830439743589744,1,Greed,71.0
2023-12-25,2275.4,59948.51,19982.836666666666,-245.081348,-81.69378266666666,4.545599999999999,4.995708333333333,1,Greed,73.0
2023-12-27,0.37319214285714286,171411.06,6121.823571428571,-704.8892269999999,-25.174615249999995,38641.607142857145,1.53045525,1,Greed,73.0
2023-12-28,0.4032943478260869,100117.25,4352.923913043478,-970.730876,-42.20569026086957,29411.130434782608,1.0882304347826086,1,Greed,73.0
2023-12-29,3836.17816,569559.72,11391.1944,508.92214299999995,10.178442859999999,429.0781206,2.8477980200000004,1,Greed,65.0
2023-12-30,13421.615271153847,702550.21,13510.58096153846,354.998648,6.826897076923077,6261.575806538462,3.377644730769231,1,Greed,68.0
2024-01-01,10373.330666666667,264239.52999999997,14679.973888888888,-129.53146,-7.196192222222223,414.7732555555556,3.6699926111111107,1,Greed,65.0
2024-01-02,10199.892598764705,121348.74,7138.1611764705885,783.979116,46.11641858823529,-46986.74279,1.7845397647058823,1,Greed,71.0
2024-01-03,738.8837898507463,394499.36,5888.050149253731,866.015507,12.925604582089552,1876.3014791044775,1.4720121044776118,1,Greed,70.0
2024-01-04,2212.62,99792.54000000001,19958.508,-67.60364,-13.520728,17.57154,4.989626400000001,1,Greed,68.0
2024-01-05,30495.46818181818,1703942.66,25817.31303030303,164.141565,2.486993409090909,-0.13111681818181825,6.4543278636363635,1,Greed,72.0
2024-01-06,6586.107318181818,298521.4,13569.154545454547,135.58166400000002,6.16280290909091,976.6085072727273,3.3922882727272725,1,Greed,70.0
2024-01-07,7513.911021649485,1048850.06,10812.887216494846,-835.681235,-8.615270463917525,4503.752768350516,2.7032212783505156,1,Greed,71.0
2024-01-08,15078.63093734375,1522452.43,11894.159609375,-269.874439,-2.1083940546875,2533.4020265625,2.9735395625,1,Greed,71.0
2024-01-09,14127.109546714286,870051.97,12429.313857142857,-826.349863,-11.804998042857143,2899.006581142857,2.9144704,1,Extreme Greed,76.0
2024-01-10,12914.76879230052,2057479.48,10660.515440414507,-1517.091342,-7.860576901554404,138.77570626943006,2.2489371243523317,1,Greed,73.0
2024-01-11,12141.70542857143,305314.1,14538.766666666666,-164.08950099999998,-7.813785761904761,58.549595714285715,3.6127224285714283,2,Extreme Greed,76.0
2024-01-12,39774.47142857143,200082.27,28583.181428571428,-1925.519024,-275.0741462857143,0.3402285714285714,7.068675285714285,1,Greed,71.0
2024-01-15,16738.085714285717,50636.1,3616.8642857142854,152.85358,10.918112857142857,0.16323428571428572,0.9037651428571428,2,Neutral,52.0
2024-01-16,19105.61008888889,116427.33,12936.37,-2299.171458,-255.4634953333333,314.06090666666665,1.9243676666666667,2,Greed,64.0
2024-01-17,20112.302,800831.03,15110.019433962265,813.2741110000001,15.344794547169812,210.5591488679245,3.0133510566037733,1,Greed,60.0
2024-01-18,24363.11304347826,424631.52999999997,9231.120217391304,68.93319,1.4985476086956522,6.626629130434783,2.014302195652174,1,Greed,63.0
2024-01-19,14421.93125,428428.97,8925.603541666665,-385.419235,-8.029567395833334,10.849159583333332,1.9385805833333334,2,Neutral,51.0
2024-01-20,14671.724672933962,1070090.51,10095.193490566038,-146.57487000000003,-1.3827817924528305,-657.2383409433962,2.5237979528301886,1,Neutral,52.0
2024-01-21,19141.940333454546,103129.74,9375.43090909091,266.58114600000005,24.234649636363642,9814.085519090908,2.343857272727273,1,Greed,56.0
2024-01-22,6179.383261176471,337878.99,3975.0469411764707,1375.640959,16.18401128235294,1218.6695727058823,0.7938619764705882,2,Greed,55.0
2024-01-23,11768.913676111111,414518.93000000005,9211.531777777778,-369.2447299999998,-8.20543844444444,-1896.9081931111111,1.9049904444444445,1,Neutral,50.0
2024-01-24,16861.48394732353,965084.59,14192.42044117647,-2808.353815,-41.29932080882353,222.05514102941174,3.3495749264705883,1,Neutral,48.0
2024-01-25,87.95416666666667,66566.13,11094.355000000001,-3093.6293849999997,-515.6048975,432.0683333333333,2.773588666666667,1,Neutral,52.0
2024-01-26,0.1198688,11773.21,2354.642,90.2,18.04,37553.4,0.088847,2,Neutral,49.0
2024-01-28,16.956,18109.03,1646.2754545454545,-2478.06972,-225.27906545454545,703.7363636363635,-0.03292509090909091,1,Neutral,54.0
2024-01-29,15636.855511594595,414208.18,5597.407837837838,486.562542,6.5751694864864865,6170.038874864865,1.395440608108108,2,Greed,55.0
2024-01-30,27371.991836734695,401011.38,8183.905714285715,-173.65419100000003,-3.5439630816326537,3.410568775510204,2.045975714285714,1,Greed,61.0
2024-01-31,28200.90456028405,6305647.13,7340.683504074505,-799.840817,-0.93113017112922,15.367925192083819,1.8037386204889407,1,Greed,60.0
2024-02-01,0.07612616666666668,2008.18,334.69666666666666,0.0,0.0,18562.666666666668,0.08367399999999998,1,Greed,63.0
2024-02-02,15601.771341142858,474278.43,11292.343571428572,456.423473,10.867225547619048,3535.838899285714,2.1802294285714288,1,Greed,63.0
2024-02-03,29939.640223214286,603820.0,10782.5,223.30918699999998,3.9876640535714283,2.58381125,1.9582562321428572,1,Greed,60.0
2024-02-04,12108.636457142857,203187.53,5805.358,47.62389499999999,1.360682714285714,4095.2721137142858,1.4436251428571427,1,Greed,60.0
2024-02-05,15958.2223625,770198.26,10697.198055555556,-33.45419400000003,-0.4646415833333337,551.6511123611111,2.299298125,1,Greed,60.0
2024-02-06,22118.307961134193,8047153.41,7396.280707720588,-215.615907,-0.19817638511029412,116599.32741643384,0.9086461369485294,1,Greed,64.0
2024-02-07,3.98582,6758.73,450.582,241.24212,16.082808,14779.04,0.022646200000000002,1,Greed,62.0
2024-02-08,10.0228845,26051.12,2605.112,770.756024,77.07560240000001,562304.5599999999,0.3002887,1,Greed,66.0
2024-02-11,17890.449081970586,212311.82,6244.465294117647,983.443176,28.924799294117648,13413.987631470589,0.7339791764705882,1,Greed,71.0
2024-02-12,28717.7418125,227247.69999999998,14202.981249999999,913.8817869999998,57.11761168749999,-32.87792375,1.6944944375,1,Greed,70.0
2024-02-13,0.06054285714285714,1999.99,142.85642857142858,559.44389,39.960277857142856,63481.57142857143,-0.0028565714285714284,1,Extreme Greed,79.0
2024-02-14,5443.060992846847,320839.88,2890.4493693693694,3830.599833,34.509908405405405,3200.867743963964,0.20646372972972976,2,Greed,74.0
2024-02-15,2750.1658545873015,185188.04,2939.4926984126987,1840.797677,29.219010746031746,-2695.6115346031747,0.4874015396825397,2,Greed,72.0
2024-02-16,696.7813038571429,564896.51,3103.826978021978,5491.768834,30.174554032967034,-184028.10488928572,0.14958884615384616,2,Greed,72.0
2024-02-17,3403.646719574468,406118.07,4320.405,1929.6418,20.52810425531915,5143.265716489362,0.6601601382978723,2,Extreme Greed,76.0
2024-02-18,3.395497731958763,157048.17,1619.0532989690723,477.6248299999999,4.923967319587628,26534.926907216497,-0.032380670103092785,1,Greed,72.0
2024-02-19,2068.0068288118814,286377.2,2835.417821782178,4317.768563,42.750183792079206,-14584.207916633664,0.14705564356435644,2,Extreme Greed,75.0
2024-02-20,2681.8062438974357,119419.72,3062.0441025641026,3263.628824,83.68279035897436,3768.2641079487184,0.07881217948717949,2,Greed,72.0
2024-02-21,27.589205454545457,108047.51999999999,4911.250909090909,1858.7985700000002,84.49084409090909,14281.386818181818,0.13502859090909092,2,Extreme Greed,78.0
2024-02-22,1175.5737064772727,373033.87,4239.02125,3894.1050699999996,44.25119397727272,9167.861366022727,0.28923386363636366,2,Greed,74.0
2024-02-23,725.5068307692308,111106.14,776.966013986014,1418.55293,9.91995055944056,-8744.50769083916,-0.014455027972027973,1,Extreme Greed,76.0
2024-02-25,0.5663259999999999,4480.13,896.0260000000001,-30.7705,-6.1541,-1652.0,-0.01792,1,Greed,74.0
2024-02-26,5.614911538461539,192187.14,4927.875384615385,4416.8473,113.25249487179488,-2850.0384615384614,-0.002505769230769226,2,Greed,72.0
